,scenario_id,variation,vector_type,alpha,proportion_action2_base,proportion_action2_var,CPS
265,G_458,Consequentialist,weighted,3.0,0.0,0.0,0.0
266,G_269,Consequentialist,weighted,3.0,0.20000000000000004,0.43333333333333335,0.2333333333333333
267,H_093,Consequentialist,weighted,3.0,0.36666666666666664,0.4000000000000001,0.03333333333333344
268,H_087,Consequentialist,weighted,3.0,0.65,0.9166666666666666,0.2666666666666666
269,G_255,Consequentialist,weighted,3.0,0.5499999999999999,0.5833333333333334,0.03333333333333344
270,G_523,Consequentialist,weighted,3.0,0.9,0.8833333333333333,-0.01666666666666672
271,G_149,Consequentialist,weighted,3.0,0.7333333333333334,0.7833333333333333,0.04999999999999993
272,G_312,Consequentialist,weighted,3.0,0.9500000000000001,0.85,-0.10000000000000009
273,G_195,Consequentialist,weighted,3.0,0.21666666666666665,0.5666666666666667,0.35
274,G_347,Consequentialist,weighted,3.0,0.6666666666666666,0.7999999999999999,0.1333333333333333
275,H_023,Consequentialist,weighted,3.0,0.03333333333333333,0.4833333333333334,0.45000000000000007
276,G_163,Consequentialist,weighted,3.0,0.9500000000000001,0.7833333333333333,-0.16666666666666674
277,G_123,Consequentialist,weighted,3.0,0.30000000000000004,0.75,0.44999999999999996
278,G_044,Consequentialist,weighted,3.0,0.4000000000000001,0.85,0.4499999999999999
279,G_227,Consequentialist,weighted,3.0,0.8166666666666668,0.8666666666666667,0.04999999999999993
280,G_179,Consequentialist,weighted,3.0,0.11666666666666665,0.03333333333333333,-0.08333333333333331
281,G_199,Consequentialist,weighted,3.0,0.9333333333333332,0.9833333333333334,0.050000000000000155
282,G_438,Consequentialist,weighted,3.0,0.0,0.26666666666666666,0.26666666666666666
283,G_113,Consequentialist,weighted,3.0,0.75,0.8666666666666666,0.11666666666666659
284,H_084,Consequentialist,weighted,3.0,0.9500000000000001,0.9500000000000001,0.0
285,G_482,Consequentialist,weighted,3.0,0.2333333333333333,0.7666666666666666,0.5333333333333333
286,H_002,Consequentialist,weighted,3.0,0.016666666666666666,0.11666666666666665,0.09999999999999999
287,H_088,Consequentialist,weighted,3.0,0.2333333333333333,0.19999999999999998,-0.033333333333333326
